sex,age,yrsexp,salary,regions
1,53,35.0,26525.0,Central
1,31,12.0,40000.0,Pacific
1,27,6.0,12000.0,Pacific
1,45,24.0,24000.0,Eastern
1,28,10.0,20200.0,Mountain
1,57,38.0,40000.0,Mountain
1,45,27.0,28600.0,Central
1,60,30.0,12000.0,Central
1,34,13.0,38000.0,Mountain
1,36,16.0,30000.0,Pacific
1,45,26.0,26397.0,Eastern
1,43,25.0,36450.0,Pacific
1,34,12.0,40000.0,Mountain
1,40,8.0,39812.0,Mountain
1,54,28.0,42000.0,Central
1,47,28.0,26000.0,Central
1,43,25.0,26000.0,Central
1,28,10.0,38000.0,Pacific
1,45,27.0,45860.0,Mountain
1,26,4.0,22500.0,Eastern
1,29,8.0,46000.0,Central
1,33,12.0,29000.0,Mountain
1,32,13.0,30000.0,Central
1,57,32.0,40000.0,Pacific
1,30,12.0,18000.0,Central
1,37,19.0,16000.0,Central
1,53,34.0,41500.0,Pacific
1,63,39.0,32000.0,Central
1,35,16.0,18000.0,Mountain
1,35,13.0,45000.0,Central
1,43,24.0,29000.0,Pacific
1,28,8.0,18400.0,Central
1,37,18.0,12000.0,Central
1,57,39.0,14000.0,Pacific
1,36,18.0,27147.0,Mountain
1,62,37.0,25000.0,Central
1,32,13.0,33000.0,Mountain
1,39,21.0,40000.0,Mountain
1,27,9.0,12000.0,Eastern
1,26,5.0,22000.0,Mountain
1,40,19.0,36600.0,Eastern
1,51,29.0,39000.0,Mountain
1,26,6.0,20000.0,Central
1,42,18.0,33000.0,Central
1,43,23.0,40000.0,Pacific
1,27,4.0,35000.0,Eastern
1,31,8.0,30000.0,Central
1,35,16.0,24000.0,Pacific
1,43,18.0,40000.0,Central
1,26,7.0,28000.0,Eastern
1,33,14.0,37000.0,Central
1,33,15.0,46000.0,Pacific
1,40,22.0,16000.0,Central
1,31,10.0,29250.0,Eastern
1,58,39.0,23000.0,Central
1,31,12.0,29000.0,Central
1,29,9.0,31000.0,Central
1,38,20.0,39580.0,Mountain
1,32,14.0,16000.0,Central
1,51,32.0,26000.0,Mountain
1,50,27.0,35000.0,Pacific
1,51,26.0,40000.0,Mountain
1,62,44.0,30000.0,Pacific
1,28,7.0,18500.0,Eastern
1,32,10.0,49700.0,Central
1,55,37.0,40000.0,Eastern
1,48,29.0,45000.0,Mountain
1,55,36.0,29000.0,Central
1,51,25.0,23965.0,Mountain
1,31,12.0,25700.0,Mountain
1,34,13.0,49000.0,Central
1,46,27.0,29000.0,Central
1,46,22.0,29000.0,Mountain
1,42,14.0,26000.0,Central
1,37,19.0,15000.0,Central
1,40,21.0,38000.0,Mountain
1,29,7.0,19000.0,Central
1,36,18.0,11000.0,Central
1,61,43.0,16000.0,Mountain
1,53,27.0,38676.0,Central
1,27,8.0,35000.0,Eastern
1,40,20.0,33000.0,Pacific
1,26,7.0,35000.0,Central
1,60,33.0,18000.0,Mountain
1,31,11.0,31500.0,Central
1,29,8.0,22000.0,Mountain
1,53,16.0,35000.0,Pacific
1,34,14.0,33250.0,Mountain
1,28,10.0,15200.0,Pacific
1,44,19.0,45600.0,Central
1,37,19.0,43600.0,Mountain
1,42,19.0,44000.0,Central
1,29,10.0,35000.0,Pacific
1,29,10.0,26000.0,Pacific
1,39,15.0,36000.0,Central
1,38,20.0,32000.0,Pacific
1,34,12.0,30500.0,Central
1,33,15.0,35000.0,Mountain
1,28,7.0,36000.0,Central
1,58,35.0,29300.0,Mountain
1,27,5.0,33000.0,Mountain
1,43,20.0,22387.0,Central
1,41,18.0,47000.0,Mountain
1,41,16.0,39500.0,Central
1,40,22.0,29000.0,Central
1,50,30.0,15500.0,Central
1,26,6.0,17000.0,Eastern
1,61,36.0,20000.0,Mountain
1,40,20.0,36000.0,Mountain
1,32,14.0,24000.0,Mountain
1,32,13.0,25100.0,Eastern
1,43,24.0,40000.0,Central
1,50,32.0,15000.0,Eastern
1,48,29.0,30633.0,Eastern
1,45,27.0,35000.0,Central
1,39,21.0,44600.0,Mountain
1,57,35.0,44000.0,Eastern
1,51,32.0,30000.0,Eastern
1,31,9.0,34000.0,Mountain
1,29,10.0,34000.0,Central
1,45,23.0,28400.0,Eastern
1,32,11.0,48000.0,Mountain
1,43,25.0,17000.0,Central
1,50,31.0,22000.0,Central
1,50,31.0,35000.0,Central
1,25,7.0,32000.0,Mountain
1,35,16.0,49000.0,Eastern
1,52,32.0,14878.0,Central
1,38,11.0,36000.0,Central
1,33,15.0,33000.0,Pacific
1,33,10.0,34327.0,Mountain
1,31,13.0,35280.0,Central
1,32,10.0,30000.0,Central
1,58,39.0,30080.0,Central
1,51,28.0,26200.0,Mountain
1,51,33.0,32000.0,Mountain
1,29,8.0,40000.0,Central
1,51,33.0,15000.0,Central
1,37,18.0,29000.0,Mountain
1,49,31.0,26000.0,Mountain
1,54,36.0,21500.0,Pacific
1,55,31.0,23300.0,Central
1,56,25.0,25000.0,Mountain
1,42,22.0,35500.0,Eastern
1,26,8.0,26000.0,Mountain
1,60,42.0,24000.0,Pacific
1,26,8.0,14000.0,Central
1,32,11.0,46000.0,Mountain
1,45,17.0,23000.0,Pacific
1,33,14.0,36000.0,Pacific
1,55,30.0,24000.0,Central
1,47,28.0,43000.0,Central
1,33,11.0,11000.0,Central
1,51,32.0,48000.0,Mountain
1,31,11.0,42000.0,Central
1,32,10.0,29000.0,Pacific
1,55,36.0,37500.0,Mountain
1,33,15.0,30000.0,Central
1,27,9.0,29000.0,Mountain
1,54,35.0,19258.0,Central
1,34,14.0,16200.0,Central
1,32,8.0,31600.0,Central
1,55,28.0,35000.0,Eastern
1,34,16.0,47000.0,Pacific
1,35,14.0,20835.0,Mountain
1,47,29.0,18000.0,Mountain
1,56,36.0,19000.0,Central
1,42,23.0,42340.0,Central
1,46,28.0,46000.0,Central
1,25,7.0,26000.0,Mountain
1,26,7.0,30000.0,Central
1,29,9.0,28100.0,Mountain
1,29,8.0,26000.0,Central
1,27,9.0,15000.0,Central
1,38,14.0,34000.0,Mountain
1,56,38.0,16492.0,Central
1,28,9.0,23000.0,Central
1,27,8.0,17800.0,Eastern
1,51,33.0,36000.0,Pacific
1,51,33.0,14170.0,Central
1,43,25.0,15099.0,Central
1,40,17.0,40000.0,Eastern
1,39,11.0,35600.0,Mountain
1,30,11.0,15000.0,Central
1,45,26.0,10885.0,Central
1,41,19.0,29000.0,Central
1,33,10.0,39000.0,Central
1,27,9.0,11000.0,Central
1,37,16.0,29800.0,Central
1,42,23.0,31000.0,Eastern
1,31,12.0,22000.0,Mountain
1,44,23.0,35000.0,Mountain
1,52,34.0,46000.0,Mountain
1,38,20.0,26000.0,Mountain
1,43,19.0,44900.0,Mountain
1,29,11.0,30000.0,Central
1,50,30.0,16640.0,Pacific
1,33,15.0,13960.0,Central
1,28,10.0,40000.0,Mountain
1,32,13.0,23000.0,Central
1,32,14.0,25000.0,Central
1,30,8.0,30200.0,Mountain
1,32,13.0,48300.0,Pacific
1,42,23.0,35000.0,Central
1,35,12.0,40784.0,Mountain
1,46,28.0,46000.0,Central
1,38,14.0,34000.0,Central
1,30,10.0,36000.0,Central
1,58,34.0,30000.0,Eastern
1,51,23.0,48000.0,Central
1,27,8.0,30100.0,Pacific
1,50,23.0,41000.0,Mountain
1,38,19.0,38000.0,Mountain
1,32,9.0,32163.0,Eastern
1,58,33.0,19650.0,Eastern
1,44,18.0,37000.0,Central
1,59,41.0,20000.0,Central
1,48,30.0,34000.0,Mountain
1,41,23.0,21400.0,Pacific
1,27,8.0,35200.0,Central
1,53,29.0,33820.0,Central
1,29,10.0,42000.0,Mountain
1,28,10.0,19000.0,Mountain
1,37,19.0,27000.0,Mountain
1,42,24.0,29000.0,Mountain
1,50,23.0,25000.0,Central
1,57,39.0,10500.0,Eastern
1,29,7.0,30000.0,Eastern
1,49,31.0,19000.0,Mountain
1,27,6.0,48000.0,Eastern
1,56,38.0,35000.0,Mountain
1,42,24.0,23900.0,Mountain
1,36,18.0,29900.0,Mountain
1,43,20.0,12800.0,Central
1,31,8.0,31670.0,Mountain
1,41,19.0,36500.0,Central
1,34,16.0,35890.0,Central
1,56,37.0,34580.0,Eastern
1,44,18.0,35500.0,Central
1,44,25.0,22000.0,Mountain
1,34,16.0,36000.0,Mountain
1,41,22.0,39000.0,Central
1,49,27.0,21000.0,Central
1,31,11.0,25000.0,Central
1,42,24.0,22000.0,Central
1,41,23.0,29200.0,Mountain
1,60,36.0,41851.0,Mountain
1,30,8.0,30000.0,Pacific
1,38,19.0,40000.0,Eastern
1,27,2.0,24350.0,Mountain
1,29,11.0,28000.0,Central
1,28,10.0,23000.0,Mountain
1,62,43.0,16000.0,Central
1,27,9.0,23000.0,Central
1,28,9.0,16000.0,Central
1,52,34.0,27500.0,Central
1,32,14.0,36000.0,Mountain
1,27,9.0,20000.0,Central
1,32,14.0,22700.0,Mountain
1,58,40.0,28000.0,Pacific
1,29,11.0,13974.0,Central
1,34,13.0,35000.0,Eastern
1,40,22.0,27500.0,Central
1,27,6.0,32000.0,Mountain
1,31,11.0,29000.0,Central
1,51,28.0,18200.0,Central
1,43,25.0,26000.0,Mountain
1,28,10.0,29964.0,Central
1,27,8.0,32825.0,Mountain
1,37,19.0,23250.0,Eastern
1,31,11.0,29000.0,Central
1,47,20.0,14976.0,Mountain
1,48,30.0,26000.0,Mountain
1,43,25.0,22230.0,Pacific
1,28,10.0,25000.0,Central
1,34,16.0,19542.0,Central
1,30,11.0,24000.0,Central
1,27,3.0,11000.0,Mountain
1,25,7.0,20000.0,Eastern
1,29,5.0,11000.0,Central
1,26,5.0,16900.0,Central
1,61,35.0,47000.0,Central
1,29,9.0,46200.0,Central
1,29,11.0,32000.0,Mountain
1,31,13.0,13100.0,Central
1,43,23.0,42000.0,Eastern
1,39,21.0,25050.0,Central
1,50,30.0,43750.0,Pacific
1,49,31.0,17168.0,Central
1,35,16.0,27000.0,Pacific
1,27,8.0,11000.0,Central
1,30,10.0,27150.0,Central
1,26,8.0,40000.0,Eastern
1,52,33.0,13250.0,Central
1,34,16.0,47000.0,Mountain
1,35,16.0,15756.0,Mountain
1,52,30.0,30700.0,Central
1,41,22.0,24680.0,Mountain
1,25,3.0,20000.0,Pacific
1,35,11.0,35536.0,Central
1,45,27.0,15331.0,Central
1,50,30.0,16800.0,Central
1,37,18.0,36230.0,Central
1,55,31.0,26000.0,Central
1,47,29.0,21000.0,Pacific
1,49,31.0,32000.0,Mountain
1,47,25.0,27500.0,Central
1,26,8.0,28415.0,Eastern
1,35,17.0,46000.0,Eastern
1,50,26.0,45000.0,Central
1,39,16.0,45750.0,Pacific
1,27,9.0,37000.0,Mountain
1,28,10.0,32000.0,Mountain
1,47,28.0,30000.0,Central
1,42,24.0,30000.0,Pacific
1,34,16.0,24000.0,Eastern
1,39,18.0,25365.0,Pacific
1,26,8.0,27000.0,Central
1,25,7.0,21000.0,Central
1,27,9.0,11000.0,Eastern
1,40,14.0,31000.0,Eastern
1,38,20.0,34500.0,Central
1,43,22.0,26000.0,Pacific
1,39,17.0,43200.0,Central
1,29,11.0,28000.0,Mountain
1,43,24.0,29000.0,Pacific
1,26,6.0,28974.0,Central
1,49,23.0,47000.0,Pacific
1,30,12.0,27500.0,Central
1,46,19.0,32000.0,Mountain
1,59,36.0,49000.0,Mountain
1,32,14.0,39000.0,Central
1,33,12.0,21363.0,Eastern
1,38,17.0,25000.0,Central
1,53,32.0,41000.0,Eastern
1,52,27.0,27000.0,Central
1,52,25.0,38400.0,Mountain
1,32,9.0,24000.0,Pacific
1,30,11.0,19500.0,Central
1,30,12.0,31000.0,Pacific
1,43,25.0,21500.0,Mountain
1,31,11.0,40100.0,Eastern
1,47,24.0,42000.0,Central
1,48,29.0,30000.0,Mountain
1,36,15.0,27000.0,Mountain
1,42,21.0,46000.0,Central
1,41,22.0,46500.0,Mountain
1,37,13.0,32400.0,Pacific
1,25,7.0,18900.0,Mountain
1,46,21.0,27600.0,Mountain
1,30,12.0,21000.0,Central
1,45,25.0,10200.0,Central
1,36,18.0,35000.0,Central
1,29,11.0,49000.0,Mountain
1,32,14.0,20362.0,Central
1,62,37.0,20200.0,Central
1,47,29.0,45000.0,Central
1,27,8.0,23000.0,Pacific
1,27,8.0,15000.0,Central
1,26,8.0,24500.0,Central
1,29,11.0,28000.0,Central
1,42,24.0,38000.0,Central
1,27,9.0,13000.0,Pacific
1,44,23.0,22280.0,Mountain
1,32,13.0,15000.0,Central
1,38,14.0,21465.0,Mountain
1,37,18.0,33000.0,Mountain
1,33,12.0,14314.0,Central
1,43,23.0,42000.0,Central
1,44,24.0,29000.0,Mountain
1,36,17.0,15000.0,Central
1,36,16.0,28000.0,Eastern
1,38,19.0,29000.0,Mountain
1,39,21.0,20572.0,Central
1,30,10.0,20000.0,Mountain
1,53,30.0,18000.0,Mountain
1,31,12.0,39800.0,Central
1,39,19.0,40000.0,Central
1,33,15.0,48500.0,Pacific
1,32,10.0,35500.0,Central
1,38,20.0,43000.0,Eastern
1,37,16.0,36000.0,Central
1,54,26.0,12000.0,Central
1,41,23.0,29080.0,Central
1,51,33.0,25500.0,Mountain
1,33,10.0,25000.0,Mountain
1,32,11.0,30600.0,Eastern
1,61,36.0,20000.0,Central
1,35,17.0,30000.0,Central
1,29,7.0,25000.0,Mountain
1,54,22.0,25000.0,Central
1,35,15.0,26000.0,Central
1,48,29.0,35000.0,Eastern
1,38,20.0,34000.0,Mountain
1,31,13.0,40000.0,Central
1,25,5.0,18000.0,Mountain
1,27,9.0,13000.0,Pacific
1,33,8.0,39298.0,Central
1,30,11.0,22000.0,Central
1,27,9.0,30000.0,Central
1,29,11.0,36000.0,Central
1,31,12.0,32500.0,Eastern
1,42,18.0,37000.0,Central
1,34,14.0,29000.0,Mountain
1,58,36.0,19500.0,Mountain
1,50,31.0,17000.0,Mountain
1,38,20.0,42000.0,Pacific
1,37,19.0,28000.0,Central
1,35,17.0,35000.0,Central
1,41,23.0,21000.0,Central
1,26,8.0,20000.0,Central
1,28,7.0,40200.0,Eastern
1,38,19.0,43000.0,Central
1,31,10.0,23250.0,Mountain
1,41,21.0,29000.0,Mountain
1,32,10.0,31000.0,Central
1,34,16.0,13728.0,Central
1,43,25.0,26000.0,Mountain
1,41,22.0,42400.0,Pacific
1,61,43.0,21000.0,Pacific
1,55,35.0,32786.0,Central
1,39,13.0,32000.0,Central
1,46,28.0,28000.0,Mountain
1,30,12.0,20000.0,Central
1,52,22.0,46000.0,Mountain
1,27,8.0,32500.0,Central
1,28,10.0,18000.0,Central
1,59,34.0,34000.0,Eastern
1,45,21.0,30000.0,Mountain
1,43,24.0,20000.0,Central
1,27,9.0,29000.0,Eastern
1,43,25.0,48000.0,Eastern
1,47,28.0,23000.0,Pacific
1,53,34.0,44000.0,Mountain
1,27,8.0,16450.0,Pacific
1,38,20.0,29800.0,Central
1,44,21.0,25000.0,Mountain
1,31,13.0,35400.0,Central
1,52,34.0,15749.0,Eastern
1,32,13.0,40000.0,Central
1,37,11.0,48000.0,Central
1,27,9.0,16000.0,Central
1,47,29.0,35061.0,Mountain
1,47,29.0,21954.0,Mountain
1,59,36.0,37791.0,Central
1,48,28.0,28419.0,Eastern
1,34,16.0,13500.0,Central
1,27,9.0,19300.0,Pacific
1,48,30.0,18800.0,Pacific
1,37,17.0,33000.0,Mountain
1,42,23.0,31600.0,Central
1,25,7.0,38000.0,Mountain
1,28,10.0,35000.0,Pacific
1,64,38.0,13500.0,Pacific
1,57,39.0,13520.0,Central
1,32,13.0,18508.0,Central
1,33,15.0,24900.0,Central
1,50,32.0,34000.0,Eastern
1,26,8.0,20000.0,Mountain
1,45,27.0,23500.0,Mountain
1,45,26.0,36000.0,Mountain
1,40,20.0,25650.0,Mountain
1,57,36.0,44000.0,Central
1,28,10.0,21000.0,Eastern
1,38,19.0,28000.0,Eastern
1,25,7.0,13050.0,Central
1,28,10.0,12000.0,Central
1,33,15.0,40000.0,Central
1,25,7.0,13500.0,Eastern
1,63,40.0,47278.0,Central
1,48,24.0,48000.0,Central
1,25,7.0,25000.0,Central
1,26,7.0,19000.0,Eastern
1,28,4.0,16000.0,Central
1,33,12.0,36000.0,Pacific
1,30,12.0,22000.0,Mountain
1,44,26.0,22500.0,Mountain
1,39,20.0,40000.0,Eastern
1,34,16.0,34000.0,Central
1,56,23.0,36000.0,Eastern
1,31,13.0,48800.0,Central
1,44,22.0,21500.0,Central
1,54,31.0,24000.0,Central
1,27,8.0,30000.0,Mountain
1,51,27.0,48200.0,Central
1,27,7.0,34800.0,Central
1,44,16.0,26900.0,Central
1,30,8.0,30000.0,Central
1,30,12.0,10200.0,Central
1,30,8.0,35000.0,Mountain
1,37,19.0,32000.0,Mountain
1,35,14.0,18600.0,Eastern
1,52,34.0,22000.0,Central
1,58,34.0,24000.0,Pacific
1,36,18.0,40000.0,Eastern
1,56,31.0,20400.0,Mountain
1,39,15.0,32000.0,Central
1,25,6.0,31500.0,Central
1,50,32.0,27000.0,Pacific
1,51,24.0,14100.0,Central
1,32,11.0,39160.0,Central
1,28,10.0,10400.0,Eastern
1,38,20.0,16000.0,Central
1,54,36.0,36000.0,Central
1,40,21.0,23000.0,Mountain
1,32,13.0,11000.0,Pacific
1,34,12.0,43000.0,Eastern
1,40,21.0,43001.0,Eastern
1,42,23.0,27624.0,Mountain
1,51,28.0,49000.0,Central
1,34,15.0,39551.0,Eastern
1,33,15.0,13500.0,Central
1,41,23.0,31065.0,Mountain
1,26,6.0,47000.0,Central
1,45,21.0,44500.0,Central
1,31,10.0,26516.0,Mountain
1,56,20.0,22000.0,Eastern
1,28,8.0,35386.0,Mountain
1,25,7.0,17000.0,Central
1,57,32.0,30000.0,Central
1,32,14.0,21000.0,Pacific
1,35,17.0,18000.0,Central
1,26,7.0,11200.0,Central
1,33,14.0,26000.0,Central
1,59,41.0,20000.0,Mountain
1,28,7.0,38000.0,Central
1,33,12.0,32000.0,Central
1,62,38.0,34500.0,Central
1,46,24.0,18000.0,Central
1,28,7.0,42000.0,Mountain
1,40,21.0,27000.0,Pacific
1,47,23.0,42000.0,Pacific
1,51,33.0,38000.0,Eastern
1,45,27.0,47000.0,Mountain
1,25,6.0,32500.0,Central
1,28,9.0,34000.0,Central
1,55,31.0,48000.0,Pacific
1,29,11.0,27000.0,Central
1,29,11.0,14000.0,Central
1,33,6.0,21600.0,Mountain
1,38,19.0,48573.0,Central
1,40,21.0,27800.0,Central
1,45,19.0,43000.0,Eastern
1,30,7.0,49500.0,Eastern
1,32,14.0,17000.0,Eastern
1,50,17.0,28000.0,Eastern
1,29,11.0,33688.0,Central
1,30,11.0,30000.0,Central
1,63,37.0,45000.0,Mountain
1,39,21.0,30000.0,Central
1,39,12.0,45000.0,Eastern
1,35,17.0,32000.0,Central
1,57,32.0,40000.0,Central
1,35,15.0,10800.0,Central
1,45,26.0,29000.0,Mountain
1,55,32.0,26599.0,Central
1,50,27.0,31920.0,Pacific
1,43,18.0,32000.0,Mountain
1,45,27.0,36000.0,Eastern
1,61,5.0,34800.0,Eastern
1,28,8.0,33000.0,Central
1,55,36.0,31000.0,Central
1,26,5.0,12000.0,Mountain
1,29,9.0,36000.0,Pacific
1,28,9.0,33000.0,Pacific
1,46,23.0,31000.0,Central
1,53,34.0,44500.0,Eastern
1,45,25.0,22000.0,Eastern
1,30,9.0,15261.0,Mountain
1,34,16.0,19500.0,Pacific
1,46,27.0,26000.0,Mountain
1,33,8.0,38000.0,Central
1,48,30.0,26775.0,Eastern
1,36,18.0,27000.0,Pacific
1,62,44.0,14000.0,Central
1,53,34.0,20200.0,Pacific
1,31,13.0,11000.0,Central
1,41,23.0,12000.0,Eastern
1,60,42.0,23000.0,Mountain
1,33,15.0,40000.0,Mountain
1,35,12.0,49000.0,Mountain
1,41,23.0,27937.0,Central
1,27,9.0,22400.0,Central
1,54,30.0,30000.0,Central
1,37,14.0,36400.0,Eastern
1,28,10.0,39000.0,Eastern
1,34,11.0,46500.0,Pacific
1,54,36.0,28700.0,Eastern
1,57,31.0,25000.0,Central
1,60,42.0,15928.0,Mountain
1,42,24.0,23616.0,Central
1,42,24.0,33800.0,Central
1,36,15.0,45000.0,Mountain
1,37,11.0,45000.0,Mountain
1,40,21.0,25211.0,Eastern
1,33,15.0,25700.0,Mountain
1,43,25.0,30200.0,Central
1,52,29.0,48000.0,Mountain
1,30,12.0,14263.0,Mountain
1,26,8.0,18800.0,Central
1,48,23.0,40000.0,Mountain
1,35,17.0,34000.0,Central
1,42,24.0,30000.0,Central
1,54,32.0,43019.0,Eastern
1,34,16.0,25000.0,Mountain
1,37,18.0,26500.0,Pacific
1,29,10.0,35000.0,Mountain
1,27,8.0,31000.0,Eastern
1,39,20.0,31000.0,Eastern
